,brand,city_state,frequency,zip_list
0,Atlanta,"Allen, TX",1,"[75002, 75013]"
1,Atlanta,"Alpharetta, GA",1,"[30004, 30005, 30009, 30022]"
2,Atlanta,"Amherst, NH",1,['03031']
3,Atlanta,"Annapolis, MD",1,"[21401, 21402, 21403, 21405, 21409]"
4,Atlanta,"Arden, NC",1,[28704]
5,Charlotte,"Arden, NC",1,[28704]
6,Atlanta,"Athens, GA",1,"[30601, 30602, 30605, 30606, 30607, 30609]"
7,Atlanta,"Atlanta, GA",43,"[30354, 30312, 30303, 30305, 30306, 30307, 30308, 30309, 30310, 30311, 30313, 30314, 30315, 30316, 30317, 30318, 30319, 30322, 30324, 30326, 30327, 30328, 30329, 30331, 30332, 30334, 30336, 30337, 30338, 30339, 30340, 30341, 30342, 30344, 30345, 30346, 30349, 30350, 30360, 30363, 30096]"
8,Charlotte,"Atlanta, GA",1,"[30354, 30312, 30303, 30305, 30306, 30307, 30308, 30309, 30310, 30311, 30313, 30314, 30315, 30316, 30317, 30318, 30319, 30322, 30324, 30326, 30327, 30328, 30329, 30331, 30332, 30334, 30336, 30337, 30338, 30339, 30340, 30341, 30342, 30344, 30345, 30346, 30349, 30350, 30360, 30363, 30096]"
9,Louisville,"Atlanta, GA",1,"[30354, 30312, 30303, 30305, 30306, 30307, 30308, 30309, 30310, 30311, 30313, 30314, 30315, 30316, 30317, 30318, 30319, 30322, 30324, 30326, 30327, 30328, 30329, 30331, 30332, 30334, 30336, 30337, 30338, 30339, 30340, 30341, 30342, 30344, 30345, 30346, 30349, 30350, 30360, 30363, 30096]"
10,Atlanta,"Auburn, AL",1,"[36830, 36832]"
11,Atlanta,"Baltimore, MD",1,"[21201, 21202, 21205, 21206, 21209, 21210, 21211, 21212, 21213, 21214, 21215, 21216, 21217, 21218, 21223, 21224, 21229, 21230, 21231, 21207, 21239, 21240, 21250, 21251]"
12,Atlanta,"Boston, MA",2,"['02108', '02109', '02110', '02111', '02113', '02114', '02115', '02116', '02118', '02127', '02128', '02163', '02199', '02203', '02150', '02210', '02215']"
13,Charlotte,"Boston, MA",3,"['02108', '02109', '02110', '02111', '02113', '02114', '02115', '02116', '02118', '02127', '02128', '02163', '02199', '02203', '02150', '02210', '02215']"
14,Indianapolis,"Boston, MA",1,"['02108', '02109', '02110', '02111', '02113', '02114', '02115', '02116', '02118', '02127', '02128', '02163', '02199', '02203', '02150', '02210', '02215']"
15,RDU,"Boston, MA",3,"['02108', '02109', '02110', '02111', '02113', '02114', '02115', '02116', '02118', '02127', '02128', '02163', '02199', '02203', '02150', '02210', '02215']"
16,Atlanta,"Bristol, PA",1,[19007]
17,Atlanta,"Charlotte, NC",2,"[28202, 28203, 28204, 28205, 28206, 28207, 28208, 28209, 28210, 28211, 28212, 28213, 28214, 28215, 28216, 28217, 28269, 28226, 28227, 28273, 28244, 28262, 28270, 28277, 28278, 28280, 28282]"
18,Charlotte,"Charlotte, NC",113,"[28202, 28203, 28204, 28205, 28206, 28207, 28208, 28209, 28210, 28211, 28212, 28213, 28214, 28215, 28216, 28217, 28269, 28226, 28227, 28273, 28244, 28262, 28270, 28277, 28278, 28280, 28282]"
19,Portland,"Charlotte, NC",1,"[28202, 28203, 28204, 28205, 28206, 28207, 28208, 28209, 28210, 28211, 28212, 28213, 28214, 28215, 28216, 28217, 28269, 28226, 28227, 28273, 28244, 28262, 28270, 28277, 28278, 28280, 28282]"
20,RDU,"Charlotte, NC",1,"[28202, 28203, 28204, 28205, 28206, 28207, 28208, 28209, 28210, 28211, 28212, 28213, 28214, 28215, 28216, 28217, 28269, 28226, 28227, 28273, 28244, 28262, 28270, 28277, 28278, 28280, 28282]"
21,Atlanta,"Chicago, IL",1,"[60607, 60601, 60602, 60603, 60604, 60605, 60606, 60608, 60609, 60610, 60611, 60612, 60613, 60614, 60615, 60616, 60617, 60618, 60619, 60620, 60621, 60622, 60623, 60624, 60625, 60626, 60628, 60629, 60630, 60631, 60632, 60633, 60634, 60636, 60637, 60638, 60639, 60640, 60641, 60642, 60643, 60644, 60645, 60646, 60647, 60649, 60651, 60652, 60653, 60654, 60655, 60656, 60657, 60659, 60660, 60661, 60018, 60131]"
22,Austin,"Chicago, IL",1,"[60607, 60601, 60602, 60603, 60604, 60605, 60606, 60608, 60609, 60610, 60611, 60612, 60613, 60614, 60615, 60616, 60617, 60618, 60619, 60620, 60621, 60622, 60623, 60624, 60625, 60626, 60628, 60629, 60630, 60631, 60632, 60633, 60634, 60636, 60637, 60638, 60639, 60640, 60641, 60642, 60643, 60644, 60645, 60646, 60647, 60649, 60651, 60652, 60653, 60654, 60655, 60656, 60657, 60659, 60660, 60661, 60018, 60131]"
23,Atlanta,"Clearwater, FL",2,"[33755, 33756, 33765, 33759, 33760, 33761, 33762, 33763, 33764]"
